Latitude,Longitude,ArchiveYear,Started,AcresBurned,Counties,WildfireOccurred,Region,Date
40.785933,-121.017469,2013,2013-01-01 08:14:00+00:00,0,Lassen,0,Northern California,1/1/2013
33.469231,-115.114638,2013,2013-01-02 16:51:00+00:00,0,Riverside,0,Southern California,1/2/2013
40.816333,-121.838142,2013,2013-01-04 15:07:00+00:00,0,Shasta,0,Northern California,1/4/2013
34.186179,-118.661168,2013,2013-01-06 17:30:00+00:00,0,Los Angeles,0,Southern California,1/6/2013
37.507826,-122.105244,2013,2013-01-08 05:47:00+00:00,0,Alameda,0,Western California,1/8/2013
40.683176,-121.749548,2013,2013-01-13 11:42:00+00:00,0,Shasta,0,Northern California,1/13/2013
38.339452,-121.859896,2013,2013-01-13 20:04:00+00:00,0,Solano,0,Western California,1/13/2013
37.487283,-119.860518,2013,2013-01-14 17:37:00+00:00,0,Mariposa,0,Central California,1/14/2013
39.928103,-121.482804,2013,2013-01-15 07:59:00+00:00,0,Butte,0,Northern California,1/15/2013
41.757476,-120.691785,2013,2013-01-18 20:24:00+00:00,0,Modoc,0,Northern California,1/18/2013
38.892909,-120.511821,2013,2013-01-23 14:11:00+00:00,0,El Dorado,0,Central California,1/23/2013
36.325631,-121.444482,2013,2013-01-26 12:45:00+00:00,0,Monterey,0,Western California,1/26/2013
41.667141,-122.58133,2013,2013-01-26 18:14:00+00:00,0,Siskiyou,0,Northern California,1/26/2013
35.953322,-118.938574,2013,2013-01-26 21:13:00+00:00,0,Tulare,0,Central California,1/26/2013
33.165765,-117.289602,2013,2013-01-27 09:12:00+00:00,0,San Diego,0,Southern California,1/27/2013
37.639727,-121.679321,2013,2013-02-02 00:47:00+00:00,0,Alameda,0,Western California,2/2/2013
35.873925,-121.377956,2013,2013-02-02 11:41:00+00:00,0,Monterey,0,Western California,2/2/2013
39.064909,-122.923932,2013,2013-02-03 12:36:00+00:00,0,Lake,0,Northern California,2/3/2013
35.534184,-120.695816,2013,2013-02-04 19:15:00+00:00,0,San Luis Obispo,0,Southern California,2/4/2013
36.910674,-120.043409,2013,2013-02-07 22:25:00+00:00,0,Madera,0,Central California,2/7/2013
38.968656,-121.210213,2013,2013-02-10 02:50:00+00:00,0,Placer,0,Central California,2/10/2013
33.595099,-116.602477,2013,2013-02-13 01:05:00+00:00,0,Riverside,0,Southern California,2/13/2013
39.645485,-121.340304,2013,2013-02-13 01:22:00+00:00,0,Butte,0,Northern California,2/13/2013
33.432996,-115.755804,2013,2013-02-15 12:48:00+00:00,0,Riverside,0,Southern California,2/15/2013
33.259714,-117.026003,2013,2013-02-15 20:22:00+00:00,0,San Diego,0,Southern California,2/15/2013
38.886027,-120.389225,2013,2013-02-17 10:24:00+00:00,0,El Dorado,0,Central California,2/17/2013
40.15166,-121.32722,2013,2013-02-19 22:39:00+00:00,0,Plumas,0,Northern California,2/19/2013
32.77477,-116.988343,2013,2013-02-23 10:55:00+00:00,0,San Diego,0,Southern California,2/23/2013
36.602575,-118.01651,2013,2013-02-24 08:16:00+00:00,406,Inyo,1,Southern California,2/24/2013
39.899235,-122.793829,2013,2013-02-25 02:21:00+00:00,0,Tehama,0,Northern California,2/25/2013
35.165451,-120.622833,2013,2013-02-25 04:23:00+00:00,0,San Luis Obispo,0,Southern California,2/25/2013
34.041945,-116.933682,2013,2013-02-25 08:57:00+00:00,0,San Bernardino,0,Southern California,2/25/2013
32.728285,-116.412719,2013,2013-02-26 17:22:00+00:00,0,San Diego,0,Southern California,2/26/2013
38.888076,-123.068488,2013,2013-02-27 07:27:00+00:00,0,Mendocino,0,Northern California,2/27/2013
34.612513,-117.449956,2013,2013-03-02 14:01:00+00:00,0,San Bernardino,0,Southern California,3/2/2013
38.357914,-121.855923,2013,2013-03-04 04:35:00+00:00,0,Solano,0,Western California,3/4/2013
34.502808,-119.826698,2013,2013-03-04 22:43:00+00:00,0,Santa Barbara,0,Southern California,3/4/2013
41.575957,-121.56985,2013,2013-03-09 00:19:00+00:00,0,Siskiyou,0,Northern California,3/9/2013
35.749291,-120.109883,2013,2013-03-11 14:55:00+00:00,0,Kern,0,Southern California,3/11/2013
36.124422,-118.404659,2013,2013-03-11 15:19:00+00:00,0,Tulare,0,Central California,3/11/2013
39.446944,-121.170018,2013,2013-03-13 22:46:00+00:00,0,Yuba,0,Central California,3/13/2013
34.801334,-120.435277,2013,2013-03-14 02:40:00+00:00,0,Santa Barbara,0,Southern California,3/14/2013
37.694565,-121.59971,2013,2013-03-14 08:17:00+00:00,0,Alameda,0,Western California,3/14/2013
40.79826,-121.909706,2013,2013-03-16 21:12:00+00:00,0,Shasta,0,Northern California,3/16/2013
40.717819,-120.285932,2013,2013-03-18 00:07:00+00:00,0,Lassen,0,Northern California,3/18/2013
37.410687,-120.901301,2013,2013-03-21 17:43:00+00:00,0,Merced,0,Central California,3/21/2013
37.423427,-122.099853,2013,2013-03-23 01:42:00+00:00,0,Santa Clara,0,Western California,3/23/2013
38.590994,-122.202945,2013,2013-03-23 09:45:00+00:00,0,Napa,0,Western California,3/23/2013
40.977492,-121.891817,2013,2013-03-24 09:32:00+00:00,0,Shasta,0,Northern California,3/24/2013
35.592625,-116.069316,2013,2013-03-25 18:26:00+00:00,0,San Bernardino,0,Southern California,3/25/2013
35.027396,-119.678017,2013,2013-03-26 15:28:00+00:00,0,San Luis Obispo,0,Southern California,3/26/2013
41.030365,-122.23516,2013,2013-03-27 02:59:00+00:00,0,Shasta,0,Northern California,3/27/2013
34.514834,-118.077695,2013,2013-03-28 00:14:00+00:00,0,Los Angeles,0,Southern California,3/28/2013
32.847095,-116.871802,2013,2013-03-28 15:14:00+00:00,0,San Diego,0,Southern California,3/28/2013
33.356281,-116.900891,2013,2013-03-28 17:28:00+00:00,0,San Diego,0,Southern California,3/28/2013
37.675961,-120.391335,2013,2013-03-29 22:33:00+00:00,0,Mariposa,0,Central California,3/29/2013
34.274009,-117.959417,2013,2013-03-30 00:45:00+00:00,0,Los Angeles,0,Southern California,3/30/2013
34.616407,-119.406721,2013,2013-03-30 13:54:00+00:00,0,Ventura,0,Southern California,3/30/2013
41.873494,-120.490196,2013,2013-03-30 14:51:00+00:00,0,Modoc,0,Northern California,3/30/2013
33.958737,-115.917279,2013,2013-03-31 23:26:00+00:00,0,Riverside,0,Southern California,3/31/2013
41.730857,-123.229158,2013,2013-04-01 03:39:00+00:00,0,Siskiyou,0,Northern California,4/1/2013
36.846228,-118.690979,2013,2013-04-02 21:44:00+00:00,0,Fresno,0,Central California,4/2/2013
